Northstar Retail 月次売上速報（経理部作成）,,,,,,
店舗名,商品カテゴリ,2025年1月,2025年2月,2025年3月,2025年4月,備考
新宿本店,家電　,283192,2497347,2315162,1391285,
　新宿本店 ,衣料,,2714341,1726684,2875403,確認中
新宿本店,食品,2126536,962144,1234999,2237197,
新宿本店 小計,,,,,,※この行は集計対象外
渋谷店,家電,1257332,1157892,1978330,476302,
渋谷店,衣料,715469,"2,279,016",972023,323280,
渋谷店,食品,2081635,1071887,"1,957,421",1638932,
渋谷店 小計,,,,,,※この行は集計対象外
　横浜店 ,家電,766339,1115679,638847,N/A,
横浜店,衣料,1806515,,2697667,2456388,
横浜店,食品,2031915,996549,780733,,
横浜店 小計,,,,,,※この行は集計対象外
大宮店,家電　,1571672,1096611,1666109,2475452,
　大宮店 ,衣料,919599,1439529,218209,517813,
大宮店,食品,847354,327539,1800816,2037487,
大宮店 小計,,,,,,※この行は集計対象外
名古屋店,家電,682080,2202812,2441439,2341013,
名古屋店,衣料,1891296,1152179,2238968,2846533,
名古屋店,食品,1586013,,599181,2345959,
名古屋店 小計,,,,,,※この行は集計対象外
金沢店,家電,1172362,2839780,1908460,1103367,確認中
金沢店,衣料,743314,1637755,2909580,,
金沢店,食品,390589,1761287,,1984922,
金沢店 小計,,,,,,※この行は集計対象外
　梅田店 ,家電,428318,1893898,,574984,
梅田店,衣料　,2504349,2962373,1487743,1805663,
　梅田店 ,食品,2165621,476460,1142091,2987664,
梅田店 小計,,,,,,※この行は集計対象外
神戸店,家電,2707331,2048984,2078966,"1,688,007",
神戸店,衣料　,1947786,1074577,,508626,
神戸店,食品　,472981,2644895,988600,1928828,
神戸店 小計,,,,,,※この行は集計対象外
　京都店 ,家電　,635005,,2163785,2668729,
京都店,衣料,947417,2768887,2067443,N/A,
京都店,食品,2425377,2285480,2077616,1917925,
京都店 小計,,,,,,※この行は集計対象外
　広島店 ,家電,2553466,1421486,2825570,1911772,確認中
広島店,衣料,232013,2393010,333070,1788225,
　広島店 ,食品,"2,961,434",1276239,1305326,N/A,確認中
広島店 小計,,,,,,※この行は集計対象外
,,,,,,
新宿本店,家電　,283192,2497347,2315162,1391285,
